day,hijri,fajr,sunrise,dhuhr,asr,maghrib,ishaa
1,3/10/1446,4:54 am,6:26 am,12:42 pm,4:15 pm,7:02 pm,8:20 pm
2,4/10/1446,4:53 am,6:25 am,12:42 pm,4:15 pm,7:03 pm,8:21 pm
3,5/10/1446,4:51 am,6:24 am,12:41 pm,4:15 pm,7:04 pm,8:22 pm
4,6/10/1446,4:50 am,6:22 am,12:41 pm,4:15 pm,7:05 pm,8:23 pm
5,7/10/1446,4:48 am,6:21 am,12:41 pm,4:15 pm,7:05 pm,8:24 pm
6,8/10/1446,4:47 am,6:20 am,12:40 pm,4:15 pm,7:06 pm,8:25 pm
7,9/10/1446,4:45 am,6:18 am,12:40 pm,4:15 pm,7:07 pm,8:26 pm
8,10/10/1446,4:44 am,6:17 am,12:40 pm,4:16 pm,7:08 pm,8:26 pm
9,11/10/1446,4:42 am,6:16 am,12:40 pm,4:16 pm,7:08 pm,8:27 pm
10,12/10/1446,4:40 am,6:14 am,12:39 pm,4:16 pm,7:09 pm,8:28 pm
11,13/10/1446,4:39 am,6:13 am,12:39 pm,4:16 pm,7:10 pm,8:29 pm
12,14/10/1446,4:37 am,6:12 am,12:39 pm,4:16 pm,7:11 pm,8:30 pm
13,15/10/1446,4:36 am,6:11 am,12:38 pm,4:16 pm,7:11 pm,8:31 pm
14,16/10/1446,4:34 am,6:09 am,12:38 pm,4:16 pm,7:12 pm,8:32 pm
15,17/10/1446,4:33 am,6:08 am,12:38 pm,4:16 pm,7:13 pm,8:32 pm
16,18/10/1446,4:31 am,6:07 am,12:38 pm,4:16 pm,7:14 pm,8:34 pm
17,19/10/1446,4:30 am,6:05 am,12:37 pm,4:16 pm,7:14 pm,8:35 pm
18,20/10/1446,4:28 am,6:04 am,12:37 pm,4:16 pm,7:15 pm,8:36 pm
19,21/10/1446,4:27 am,6:03 am,12:37 pm,4:16 pm,7:16 pm,8:37 pm
20,22/10/1446,4:25 am,6:02 am,12:37 pm,4:16 pm,7:17 pm,8:38 pm
21,23/10/1446,4:24 am,6:01 am,12:37 pm,4:17 pm,7:17 pm,8:39 pm
22,24/10/1446,4:22 am,5:59 am,12:36 pm,4:17 pm,7:18 pm,8:40 pm
23,25/10/1446,4:21 am,5:58 am,12:36 pm,4:17 pm,7:19 pm,8:41 pm
24,26/10/1446,4:19 am,5:57 am,12:36 pm,4:17 pm,7:20 pm,8:42 pm
25,27/10/1446,4:18 am,5:56 am,12:36 pm,4:17 pm,7:20 pm,8:43 pm
26,28/10/1446,4:16 am,5:55 am,12:36 pm,4:17 pm,7:21 pm,8:44 pm
27,29/10/1446,4:15 am,5:54 am,12:35 pm,4:17 pm,7:22 pm,8:46 pm
28,30/10/1446,4:13 am,5:53 am,12:35 pm,4:17 pm,7:23 pm,8:47 pm
29,1/11/1446,4:12 am,5:52 am,12:35 pm,4:17 pm,7:24 pm,8:48 pm
30,2/11/1446,4:11 am,5:51 am,12:35 pm,4:17 pm,7:24 pm,8:49 pm
